time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-19T17:07:30.389Z,38.0041,73.2209,18.582,4.5,mb,64,90,3.325,0.67,us,us7000jlb0,2023-03-19T17:48:25.040Z,"67 km WSW of Murghob, Tajikistan",earthquake,8.55,4.58,0.076,51,reviewed,us,us
2023-03-19T15:06:27.280Z,59.6095,-151.907,65.4,5.4,mww,,,,0.49,ak,ak0233l8vwxa,2023-03-19T19:37:31.803Z,"19 km SSW of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-03-19T14:12:30.690Z,10.7736,-86.4849,32.828,4.5,mb,31,187,1.142,0.65,us,us7000jl9c,2023-03-19T18:42:56.040Z,"85 km SW of San Juan del Sur, Nicaragua",earthquake,6.26,9.821,0.06,82,reviewed,us,us
2023-03-19T09:51:57.672Z,10.6019,-86.3444,10,4.5,mb,58,180,1.035,0.65,us,us7000jl8b,2023-03-19T10:12:33.040Z,"76 km W of Sardinal, Costa Rica",earthquake,6.91,1.934,0.044,152,reviewed,us,us
2023-03-19T03:09:03.449Z,-3.4672,146.5067,10,4.7,mb,25,71,5.69,0.78,us,us7000jl6k,2023-03-19T03:27:52.040Z,"179 km SSW of Lorengau, Papua New Guinea",earthquake,10.52,1.906,0.13,20,reviewed,us,us
2023-03-19T02:55:05.728Z,-3.3525,146.7397,10,4.7,mb,21,75,5.476,1.16,us,us7000jl6i,2023-03-19T03:23:41.040Z,"157 km SSW of Lorengau, Papua New Guinea",earthquake,12.59,1.924,0.166,12,reviewed,us,us
2023-03-19T02:45:30.934Z,-3.4046,146.6817,10,4.9,mb,34,120,5.98,1.01,us,us7000jl6g,2023-03-19T03:01:40.040Z,"165 km SSW of Lorengau, Papua New Guinea",earthquake,11.92,1.9,0.119,22,reviewed,us,us
2023-03-19T01:25:39.158Z,2.3236,128.8497,10,4.9,mb,47,120,2.139,0.86,us,us7000jl69,2023-03-19T01:44:32.040Z,"114 km NE of Tobelo, Indonesia",earthquake,5.62,1.857,0.078,53,reviewed,us,us
2023-03-18T23:14:46.048Z,-18.1178,-178.0417,552.905,4.8,mb,27,99,3.789,0.69,us,us7000jl5y,2023-03-18T23:31:56.040Z,"279 km E of Levuka, Fiji",earthquake,9.63,16.434,0.121,21,reviewed,us,us
2023-03-18T20:30:07.619Z,-23.1182,-68.9075,97.39,4.6,mwr,41,81,0.691,0.88,us,us7000jl58,2023-03-18T21:03:57.040Z,"73 km S of Calama, Chile",earthquake,5.01,5.888,,,reviewed,us,guc
2023-03-18T17:12:52.583Z,-2.8367,-79.8436,65.842,6.8,mww,152,28,0.709,1.27,us,us7000jl3s,2023-03-19T17:21:42.506Z,"8 km NNW of Baláo, Ecuador",earthquake,6.64,3.333,0.038,68,reviewed,us,us
2023-03-18T17:05:13.970Z,30.0028,142.0299,10,4.8,mb,69,125,3.634,1,us,us7000jl3l,2023-03-18T17:20:00.040Z,"Izu Islands, Japan region",earthquake,10.44,1.785,0.08,48,reviewed,us,us
2023-03-18T16:30:45.393Z,2.3196,128.7848,10.442,4.9,mb,38,79,2.091,0.86,us,us7000jl3d,2023-03-18T16:47:26.040Z,"108 km NE of Tobelo, Indonesia",earthquake,5.32,4.909,0.087,42,reviewed,us,us
2023-03-18T15:41:44.548Z,-33.333,-68.4423,48.406,5,mb,37,92,1.593,0.61,us,us7000jl36,2023-03-18T20:25:42.240Z,"28 km S of San Martín, Argentina",earthquake,3.88,9.829,0.046,150,reviewed,us,us
2023-03-18T10:05:20.615Z,-7.0637,155.625,10,4.8,mb,41,93,4.473,0.59,us,us7000jl26,2023-03-18T10:40:29.040Z,"84 km S of Panguna, Papua New Guinea",earthquake,8.98,1.873,0.083,44,reviewed,us,us
2023-03-18T07:14:40.961Z,2.3406,128.8997,10.06,4.7,mb,54,85,2.186,0.79,us,us7000jl1j,2023-03-18T07:30:40.040Z,"119 km NE of Tobelo, Indonesia",earthquake,6.39,3.627,0.103,29,reviewed,us,us
2023-03-18T06:50:07.197Z,-19.7823,-66.9232,242.129,4.7,mb,32,86,2.142,0.58,us,us7000jl1c,2023-03-18T07:05:45.040Z,"57 km N of Colchani, Bolivia",earthquake,7.72,4.658,0.106,27,reviewed,us,us
2023-03-18T04:31:18.708Z,22.2244,-108.6706,10,4.5,mb,41,171,1.869,0.98,us,us7000jl0w,2023-03-18T04:46:32.040Z,"Off the coast of Baja California Sur, Mexico",earthquake,8.94,1.924,0.035,237,reviewed,us,us
2023-03-18T03:44:10.637Z,-30.4146,-176.6294,10,5,mb,31,126,1.605,1.15,us,us7000jl0m,2023-03-18T04:02:47.040Z,"Kermadec Islands region",earthquake,12.63,1.896,0.088,45,reviewed,us,us
2023-03-18T03:01:09.355Z,-19.265,-179.1251,482.171,4.6,mb,49,54,4.141,0.98,us,us7000jl0d,2023-03-18T21:50:54.040Z,"211 km SE of Levuka, Fiji",earthquake,11.66,7.188,0.031,317,reviewed,us,us
2023-03-18T01:14:03.278Z,-21.1669,168.7912,10,4.7,mb,17,87,1.905,1.04,us,us7000jl02,2023-03-18T01:46:19.040Z,"103 km ENE of Tadine, New Caledonia",earthquake,8.02,1.903,0.147,14,reviewed,us,us
2023-03-18T00:14:48.011Z,-22.3589,-177.5499,328.912,4.5,mb,32,115,2.481,0.66,us,us7000jkzm,2023-03-18T00:41:07.040Z,"276 km WSW of Haveluloto, Tonga",earthquake,7.29,8.832,0.099,30,reviewed,us,us
2023-03-18T00:00:54.476Z,36.5161,69.8417,162.193,4.9,mww,110,39,2.076,1.15,us,us7000jkzj,2023-03-18T18:18:22.340Z,"6 km SSW of Farkh?r, Afghanistan",earthquake,7.15,5.807,0.086,13,reviewed,us,us
2023-03-17T23:43:20.688Z,-22.953,167.719,10,4.6,mb,28,159,0.422,0.63,us,us7000jkzi,2023-03-18T00:09:10.040Z,"39 km SE of Vao, New Caledonia",earthquake,7.3,1.908,0.117,22,reviewed,us,us
2023-03-17T20:32:04.105Z,-23.3535,-177.0585,156.346,4.6,mb,37,139,2.77,0.78,us,us7000jkyf,2023-03-17T21:13:54.040Z,"south of the Fiji Islands",earthquake,10.11,7.4,0.089,37,reviewed,us,us
2023-03-17T19:58:06.747Z,-38.1072,176.6233,6.528,4.7,mb,43,64,0.58,0.93,us,us7000jkyc,2023-03-18T06:12:13.066Z,"6 km W of Kawerau, New Zealand",earthquake,5,4.98,0.137,19,reviewed,us,us
2023-03-17T19:37:59.190Z,5.9818,125.8004,125.882,4.7,mb,68,38,1.103,1.09,us,us7000jky8,2023-03-17T20:02:44.040Z,"13 km E of Mangili, Philippines",earthquake,8.76,7.095,0.051,117,reviewed,us,us
2023-03-17T19:19:23.358Z,-0.256,-80.6624,10,4.5,mb,27,148,0.826,0.86,us,us7000jkyh,2023-03-17T21:19:16.040Z,"46 km NW of Bahía de Caráquez, Ecuador",earthquake,5.07,1.566,0.156,12,reviewed,us,us
2023-03-17T18:19:10.371Z,38.2387,75.551,139.449,4.7,mb,67,94,2.811,0.69,us,us7000jkxk,2023-03-17T19:34:57.040Z,"138 km E of Murghob, Tajikistan",earthquake,7.69,7.842,0.048,133,reviewed,us,us
2023-03-17T16:11:39.539Z,5.9278,126.9379,74.68,5,mb,69,83,1.764,0.72,us,us7000jkwd,2023-03-17T16:27:06.040Z,"96 km ESE of Pondaguitan, Philippines",earthquake,7.57,6.026,0.064,77,reviewed,us,us
2023-03-17T15:46:01.944Z,-38.0709,176.6406,10,5.3,mww,37,87,0.606,1.04,us,us7000jkvz,2023-03-18T22:42:49.223Z,"6 km WNW of Kawerau, New Zealand",earthquake,4.92,1.872,0.078,16,reviewed,us,us
2023-03-17T15:31:07.356Z,-38.0795,176.6167,10,4.8,mb,25,130,0.607,1.14,us,us7000jkus,2023-03-17T19:22:54.639Z,"7 km WNW of Kawerau, New Zealand",earthquake,5.05,1.92,0.154,13,reviewed,us,us
2023-03-17T15:04:25.685Z,59.2624,-144.9381,14.3,4.6,ml,,,,0.65,ak,ak0233hxssds,2023-03-19T17:17:58.120Z,"149 km SSE of Cordova, Alaska",earthquake,,2.1,,,reviewed,ak,ak
2023-03-17T13:56:04.248Z,14.4992,119.946,40.074,4.9,mb,51,102,8.779,0.78,us,us7000jku9,2023-03-17T22:35:21.623Z,"39 km WSW of Sabang, Philippines",earthquake,10.83,2.325,0.054,106,reviewed,us,us
2023-03-17T13:23:29.544Z,18.4724,120.3667,26.295,4.9,mb,73,79,4.375,0.61,us,us7000jku5,2023-03-17T14:08:50.061Z,"22 km W of Davila, Philippines",earthquake,8.56,5.433,0.057,96,reviewed,us,us
2023-03-17T12:05:25.551Z,-9.2641,109.6526,46.72,5,mww,56,134,2.334,1.86,us,us7000jktt,2023-03-18T09:14:30.094Z,"160 km SSW of Srandakan, Indonesia",earthquake,7.5,7.9,0.08,15,reviewed,us,us
